index,no.wrong,percent.wrong,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31
total.wrong,28,0.451612903225806,1,5,7,8,17,20,29,31,33,34,40,46,47,2,3,6,7,9,10,12,13,17,19,20,29,30,36,37
reading.wrong,13,0.25,1,5,7,8,17,20,29,31,33,34,40,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coe,2,0.2,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wic,3,0.333333333333333,5,34,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
others,11,0.261904761904762,1,7,20,29,31,33,46,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
writing.wrong,15,1.5,2,3,6,7,9,10,12,13,17,19,20,29,30,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
coew,2,0.25,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
wicw,5,0.625,2,17,19,30,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eoiw,6,0.3,2,6,7,17,19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
secw,8,0.4,3,9,10,12,13,20,29,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by passage.history,6,0.24,17,29,31,33,34,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by passage.science,6,0.24,20,40,46,47,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
by passage.literature,22,0.594594594594595,1,5,8,2,3,6,9,10,12,13,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
